A00	Cholera
W05.9	Fall involving wheelchair (Unspecified place)
W06.0	Fall involving bed (Home)
W06.1	Fall involving bed (Residential institution)
W06.2	Fall involving bed (School, other institution and public administrative area)
W06.3	Fall involving bed (Sports and athletics area)
W06.4	Fall involving bed (Street and highway)
W06.5	Fall involving bed (Trade and service area)
W06.6	Fall involving bed (Industrial and construction area)
W06.7	Fall involving bed (Farm)
W06.8	Fall involving bed (Other specified places)
W06.9	Fall involving bed (Unspecified place)
W07.0	Fall involving chair (Home)
W07.1	Fall involving chair (Residential institution)
W07.2	Fall involving chair (School, other institution and public administrative area)
W07.3	Fall involving chair (Sports and athletics area)
W07.4	Fall involving chair (Street and highway)
W07.5	Fall involving chair (Trade and service area)
W07.6	Fall involving chair (Industrial and construction area)
W07.7	Fall involving chair (Farm)
W07.8	Fall involving chair (Other specified places)
W07.9	Fall involving chair (Unspecified place)
W08.0	Fall involving other furniture (Home)
W08.1	Fall involving other furniture (Residential institution)
W08.2	Fall involving other furniture (School, other institution and public administrative area)
W08.3	Fall involving other furniture (Sports and athletics area)
W08.4	Fall involving other furniture (Street and highway)
W08.5	Fall involving other furniture (Trade and service area)
W08.6	Fall involving other furniture (Industrial and construction area)
W08.7	Fall involving other furniture (Farm)
W08.8	Fall involving other furniture (Other specified places)
W08.9	Fall involving other furniture (Unspecified place)
W09.0	Fall involving playground equipment (Home)
W09.1	Fall involving playground equipment (Residential institution)
W09.2	Fall involving playground equipment (School, other institution and public administrative area)
W09.3	Fall involving playground equipment (Sports and athletics area)
W09.4	Fall involving playground equipment (Street and highway)
W09.5	Fall involving playground equipment (Trade and service area)
W09.6	Fall involving playground equipment (Industrial and construction area)
W09.7	Fall involving playground equipment (Farm)
W09.8	Fall involving playground equipment (Other specified places)
W09.9	Fall involving playground equipment (Unspecified place)
W10.0	Fall on and from stairs and steps (Home)
W10.1	Fall on and from stairs and steps (Residential institution)
W10.2	Fall on and from stairs and steps (School, other institution and public administrative area)
W10.3	Fall on and from stairs and steps (Sports and athletics area)
W10.4	Fall on and from stairs and steps (Street and highway)
W10.5	Fall on and from stairs and steps (Trade and service area)
W10.6	Fall on and from stairs and steps (Industrial and construction area)
W10.7	Fall on and from stairs and steps (Farm)
W10.8	Fall on and from stairs and steps (Other specified places)
W10.9	Fall on and from stairs and steps (Unspecified place)
W11.0	Fall on and from ladder (Home)
W11.1	Fall on and from ladder (Residential institution)
W11.2	Fall on and from ladder (School, other institution and public administrative area)
W11.3	Fall on and from ladder (Sports and athletics area)
W11.4	Fall on and from ladder (Street and highway)
W11.5	Fall on and from ladder (Trade and service area)
W11.6	Fall on and from ladder (Industrial and construction area)
W11.7	Fall on and from ladder (Farm)
W11.8	Fall on and from ladder (Other specified places)
W11.9	Fall on and from ladder (Unspecified place)
W12.0	Fall on and from scaffolding (Home)
W12.1	Fall on and from scaffolding (Residential institution)
W12.2	Fall on and from scaffolding (School, other institution and public administrative area)
W12.3	Fall on and from scaffolding (Sports and athletics area)
W12.4	Fall on and from scaffolding (Street and highway)
W12.5	Fall on and from scaffolding (Trade and service area)
W12.6	Fall on and from scaffolding (Industrial and construction area)
W12.7	Fall on and from scaffolding (Farm)
W12.8	Fall on and from scaffolding (Other specified places)
W12.9	Fall on and from scaffolding (Unspecified place)
W13.0	Fall from, out of or through building or structure (Home)
W13.1	Fall from, out of or through building or structure (Residential institution)
W13.2	Fall from, out of or through building or structure (School, other institution and public administrative area)
W13.3	Fall from, out of or through building or structure (Sports and athletics area)
W13.4	Fall from, out of or through building or structure (Street and highway)
W13.5	Fall from, out of or through building or structure (Trade and service area)
W13.6	Fall from, out of or through building or structure (Industrial and construction area)
W13.7	Fall from, out of or through building or structure (Farm)
W13.8	Fall from, out of or through building or structure (Other specified places)
W13.9	Fall from, out of or through building or structure (Unspecified place)
W14.0	Fall from tree (Home)
W14.1	Fall from tree (Residential institution)
W14.2	Fall from tree (School, other institution and public administrative area)
W14.3	Fall from tree (Sports and athletics area)
W14.4	Fall from tree (Street and highway)
W14.5	Fall from tree (Trade and service area)
W14.6	Fall from tree (Industrial and construction area)
W14.7	Fall from tree (Farm)
W14.8	Fall from tree (Other specified places)
W14.9	Fall from tree (Unspecified place)
W15.0	Fall from cliff (Home)
W15.1	Fall from cliff (Residential institution)
W15.2	Fall from cliff (School, other institution and public administrative area)
W15.3	Fall from cliff (Sports and athletics area)
W15.4	Fall from cliff (Street and highway)
W15.5	Fall from cliff (Trade and service area)
W15.6	Fall from cliff (Industrial and construction area)
W15.7	Fall from cliff (Farm)
W15.8	Fall from cliff (Other specified places)
W15.9	Fall from cliff (Unspecified place)
W16.0	Diving or jumping into water causing injury other than drowning or submersion (Home)
W16.01	Fall into swimming pool striking water surface (non-NHS term)
W16.011	Fall into swimming pool striking water surface causing drowning and submersion (non-NHS term)
W16.012	Fall into swimming pool striking water surface causing other injury (non-NHS term)
W16.02	Fall into swimming pool striking bottom (non-NHS term)
W16.021	Fall into swimming pool striking bottom causing drowning and submersion (non-NHS term)
W16.022	Fall into swimming pool striking bottom causing other injury (non-NHS term)
W16.03	Fall into swimming pool striking wall (non-NHS term)
W16.031	Fall into swimming pool striking wall causing drowning and submersion (non-NHS term)
W16.032	Fall into swimming pool striking wall causing other injury (non-NHS term)
W16.1	Diving or jumping into water causing injury other than drowning or submersion (Residential institution)
W16.11	Fall into natural body of water striking water surface (non-NHS term)
W16.111	Fall into natural body of water striking water surface causing drowning and submersion (non-NHS term)
W16.112	Fall into natural body of water striking water surface causing other injury (non-NHS term)
W16.12	Fall into natural body of water striking bottom (non-NHS term)
W16.121	Fall into natural body of water striking bottom causing drowning and submersion (non-NHS term)
W16.122	Fall into natural body of water striking bottom causing other injury (non-NHS term)
W16.13	Fall into natural body of water striking side (non-NHS term)
W16.131	Fall into natural body of water striking side causing drowning and submersion (non-NHS term)
W16.132	Fall into natural body of water striking side causing other injury (non-NHS term)
W16.2	Diving or jumping into water causing injury other than drowning or submersion (School, other institution and public administrati
W16.21	Fall in (into) filled bathtub (non-NHS term)
W16.211	Fall in (into) filled bathtub causing drowning and submersion (non-NHS term)
W16.212	Fall in (into) filled bathtub causing other injury (non-NHS term)
W16.22	Fall in (into) bucket of water (non-NHS term)
W16.221	Fall in (into) bucket of water causing drowning and submersion (non-NHS term)
W16.222	Fall in (into) bucket of water causing other injury (non-NHS term)
W16.3	Diving or jumping into water causing injury other than drowning or submersion (Sports and athletics area)
W16.31	Fall into other water striking water surface (non-NHS term)
W16.311	Fall into other water striking water surface causing drowning and submersion (non-NHS term)
W16.312	Fall into other water striking water surface causing other injury (non-NHS term)
W16.32	Fall into other water striking bottom (non-NHS term)
W16.321	Fall into other water striking bottom causing drowning and submersion (non-NHS term)
W16.322	Fall into other water striking bottom causing other injury (non-NHS term)
W16.33	Fall into other water striking wall (non-NHS term)
W16.331	Fall into other water striking wall causing drowning and submersion (non-NHS term)
W16.332	Fall into other water striking wall causing other injury (non-NHS term)
W16.4	Diving or jumping into water causing injury other than drowning or submersion (Street and highway)
W16.41	Fall into unspecified water causing drowning and submersion (non-NHS term)
W16.42	Fall into unspecified water causing other injury (non-NHS term)
W16.5	Diving or jumping into water causing injury other than drowning or submersion (Trade and service area)
W16.51	Jumping or diving into swimming pool striking water surface (non-NHS term)
W16.511	Jumping or diving into swimming pool striking water surface causing drowning and submersion (non-NHS term)
W16.512	Jumping or diving into swimming pool striking water surface causing other injury (non-NHS term)
W16.52	Jumping or diving into swimming pool striking bottom (non-NHS term)
W16.521	Jumping or diving into swimming pool striking bottom causing drowning and submersion (non-NHS term)
W16.522	Jumping or diving into swimming pool striking bottom causing other injury (non-NHS term)
W16.53	Jumping or diving into swimming pool striking wall (non-NHS term)
W16.531	Jumping or diving into swimming pool striking wall causing drowning and submersion (non-NHS term)
W16.532	Jumping or diving into swimming pool striking wall causing other injury (non-NHS term)
W16.6	Diving or jumping into water causing injury other than drowning or submersion (Industrial and construction area)
W16.61	Jumping or diving into natural body of water striking water surface (non-NHS term)
W16.611	Jumping or diving into natural body of water striking water surface causing drowning and submersion (non-NHS term)
W16.612	Jumping or diving into natural body of water striking water surface causing other injury (non-NHS term)
W16.62	Jumping or diving into natural body of water striking bottom (non-NHS term)
W16.621	Jumping or diving into natural body of water striking bottom causing drowning and submersion (non-NHS term)
W16.622	Jumping or diving into natural body of water striking bottom causing other injury (non-NHS term)
W16.7	Diving or jumping into water causing injury other than drowning or submersion (Farm)
W16.71	Jumping or diving from boat striking water surface (non-NHS term)
W16.711	Jumping or diving from boat striking water surface causing drowning and submersion (non-NHS term)
W16.712	Jumping or diving from boat striking water surface causing other injury (non-NHS term)
W16.72	Jumping or diving from boat striking bottom (non-NHS term)
W16.721	Jumping or diving from boat striking bottom causing drowning and submersion (non-NHS term)
W16.722	Jumping or diving from boat striking bottom causing other injury (non-NHS term)
W16.8	Diving or jumping into water causing injury other than drowning or submersion (Other specified places)
W16.81	Jumping or diving into other water striking water surface (non-NHS term)
W16.811	Jumping or diving into other water striking water surface causing drowning and submersion (non-NHS term)
W16.812	Jumping or diving into other water striking water surface causing other injury (non-NHS term)
W16.82	Jumping or diving into other water striking bottom (non-NHS term)
W16.821	Jumping or diving into other water striking bottom causing drowning and submersion (non-NHS term)
W16.822	Jumping or diving into other water striking bottom causing other injury (non-NHS term)
W16.83	Jumping or diving into other water striking wall (non-NHS term)
W16.831	Jumping or diving into other water striking wall causing drowning and submersion (non-NHS term)
W16.832	Jumping or diving into other water striking wall causing other injury (non-NHS term)
W16.9	Diving or jumping into water causing injury other than drowning or submersion (Unspecified place)
W16.91	Jumping or diving into unspecified water causing drowning and submersion (non-NHS term)
W16.92	Jumping or diving into unspecified water causing other injury (non-NHS term)
W17.0	Other fall from one level to another (Home)
W17.1	Other fall from one level to another (Residential institution)
W17.2	Other fall from one level to another (School, other institution and public administrative area)
W17.3	Other fall from one level to another (Sports and athletics area)
W17.4	Other fall from one level to another (Street and highway)
W17.5	Other fall from one level to another (Trade and service area)
W17.6	Other fall from one level to another (Industrial and construction area)
W17.7	Other fall from one level to another (Farm)
W17.8	Other fall from one level to another (Other specified places)
W17.81	Fall down embankment (hill) (non-NHS term)
W17.82	Fall from (out of) grocery cart (non-NHS term)
W17.89	Other fall from one level to another (non-NHS term)
W17.9	Other fall from one level to another (Unspecified place)
W18.0	Other fall on same level (Home)
W18.00	Striking against unspecified object with subsequent fall (non-NHS term)
W18.01	Striking against sports equipment with subsequent fall (non-NHS term)
W18.02	Striking against glass with subsequent fall (non-NHS term)
W18.09	Striking against other object with subsequent fall (non-NHS term)
W18.1	Other fall on same level (Residential institution)
W18.11	Fall from or off toilet without subsequent striking against object (non-NHS term)
W18.12	Fall from or off toilet with subsequent striking against object (non-NHS term)
W18.2	Other fall on same level (School, other institution and public administrative area)
W18.3	Other fall on same level (Sports and athletics area)
W18.30	Fall on same level, unspecified (non-NHS term)
W18.31	Fall on same level due to stepping on an object (non-NHS term)
W18.39	Other fall on same level (non-NHS term)
W18.4	Other fall on same level (Street and highway)
W18.40	Slipping, tripping and stumbling without falling, unspecified (non-NHS term)
W18.41	Slipping, tripping and stumbling without falling due to stepping on object (non-NHS term)
W18.42	Slipping, tripping and stumbling without falling due to stepping into hole or opening (non-NHS term)
W18.43	Slipping, tripping and stumbling without falling due to stepping from one level to another (non-NHS term)
W18.49	Other slipping, tripping and stumbling without falling (non-NHS term)
W18.5	Other fall on same level (Trade and service area)
W18.6	Other fall on same level (Industrial and construction area)
W18.7	Other fall on same level (Farm)
W18.8	Other fall on same level (Other specified places)
W18.9	Other fall on same level (Unspecified place)
W19.0	Unspecified fall (Home)
W19.1	Unspecified fall (Residential institution)
W19.2	Unspecified fall (School, other institution and public administrative area)
W19.3	Unspecified fall (Sports and athletics area)
W19.4	Unspecified fall (Street and highway)
W19.5	Unspecified fall (Trade and service area)
W19.6	Unspecified fall (Industrial and construction area)
W19.7	Unspecified fall (Farm)
W19.8	Unspecified fall (Other specified places)
W19.9	Unspecified fall (Unspecified place)
W20.0	Struck by thrown, projected or falling object (Home)
W20.1	Struck by thrown, projected or falling object (Residential institution)
W20.2	Struck by thrown, projected or falling object (School, other institution and public administrative area)
W20.3	Struck by thrown, projected or falling object (Sports and athletics area)
W20.4	Struck by thrown, projected or falling object (Street and highway)
W20.5	Struck by thrown, projected or falling object (Trade and service area)
W20.6	Struck by thrown, projected or falling object (Industrial and construction area)
W20.7	Struck by thrown, projected or falling object (Farm)
W20.8	Struck by thrown, projected or falling object (Other specified places)
W20.9	Struck by thrown, projected or falling object (Unspecified place)
W21.0	Striking against or struck by sports equipment (Home)
W21.00	Struck by hit or thrown ball, unspecified type (non-NHS term)
W21.01	Struck by football (non-NHS term)
W21.02	Struck by soccer ball (non-NHS term)
W21.03	Struck by baseball (non-NHS term)
W21.04	Struck by golf ball (non-NHS term)
W21.05	Struck by basketball (non-NHS term)
W21.06	Struck by volleyball (non-NHS term)
W21.07	Struck by softball (non-NHS term)
W21.09	Struck by other hit or thrown ball (non-NHS term)
W21.1	Striking against or struck by sports equipment (Residential institution)
W21.11	Struck by baseball bat (non-NHS term)
W21.12	Struck by tennis racquet (non-NHS term)
W21.13	Struck by golf club (non-NHS term)
W21.19	Struck by other bat, racquet or club (non-NHS term)
W21.2	Striking against or struck by sports equipment (School, other institution and public administrative area)
W21.21	Struck by hockey stick (non-NHS term)
W21.210	Struck by ice hockey stick (non-NHS term)
W21.211	Struck by field hockey stick (non-NHS term)
W21.22	Struck by hockey puck (non-NHS term)
W21.220	Struck by ice hockey puck (non-NHS term)
W21.221	Struck by field hockey puck (non-NHS term)
W21.3	Striking against or struck by sports equipment (Sports and athletics area)
W21.31	Struck by shoe cleats (non-NHS term)
W21.32	Struck by skate blades (non-NHS term)
W21.39	Struck by other sports foot wear (non-NHS term)
W21.4	Striking against or struck by sports equipment (Street and highway)
W21.5	Striking against or struck by sports equipment (Trade and service area)
W21.6	Striking against or struck by sports equipment (Industrial and construction area)
W21.7	Striking against or struck by sports equipment (Farm)
W21.8	Striking against or struck by sports equipment (Other specified places)
W21.81	Striking against or struck by football helmet (non-NHS term)
W21.89	Striking against or struck by other sports equipment (non-NHS term)
W21.9	Striking against or struck by sports equipment (Unspecified place)
W22.0	Striking against or struck by other objects (Home)
W22.01	Walked into wall (non-NHS term)
W22.02	Walked into lamppost (non-NHS term)
W22.03	Walked into furniture (non-NHS term)
W22.04	Striking against wall of swimming pool (non-NHS term)
W22.041	Striking against wall of swimming pool causing drowning and submersion (non-NHS term)
W22.042	Striking against wall of swimming pool causing other injury (non-NHS term)
W22.09	Striking against other stationary object (non-NHS term)
W22.1	Striking against or struck by other objects (Residential institution)
W22.10	Striking against or struck by unspecified automobile airbag (non-NHS term)
W22.11	Striking against or struck by driver side automobile airbag (non-NHS term)
W22.12	Striking against or struck by front passenger side automobile airbag (non-NHS term)
W22.19	Striking against or struck by other automobile airbag (non-NHS term)
W22.2	Striking against or struck by other objects (School, other institution and public administrative area)
W22.3	Striking against or struck by other objects (Sports and athletics area)
W22.4	Striking against or struck by other objects (Street and highway)
W22.5	Striking against or struck by other objects (Trade and service area)
W22.6	Striking against or struck by other objects (Industrial and construction area)
W22.7	Striking against or struck by other objects (Farm)
W22.8	Striking against or struck by other objects (Other specified places)
W22.9	Striking against or struck by other objects (Unspecified place)
W23.0	Caught, crushed, jammed or pinched in or between objects (Home)
W23.1	Caught, crushed, jammed or pinched in or between objects (Residential institution)
W23.2	Caught, crushed, jammed or pinched in or between objects (School, other institution and public administrative area)
W23.3	Caught, crushed, jammed or pinched in or between objects (Sports and athletics area)
W23.4	Caught, crushed, jammed or pinched in or between objects (Street and highway)
W23.5	Caught, crushed, jammed or pinched in or between objects (Trade and service area)
W23.6	Caught, crushed, jammed or pinched in or between objects (Industrial and construction area)
W23.7	Caught, crushed, jammed or pinched in or between objects (Farm)
W23.8	Caught, crushed, jammed or pinched in or between objects (Other specified places)
W23.9	Caught, crushed, jammed or pinched in or between objects (Unspecified place)
W24.0	Contact with lifting and transmission devices, not elsewhere classified (Home)
W24.1	Contact with lifting and transmission devices, not elsewhere classified (Residential institution)
W24.2	Contact with lifting and transmission devices, not elsewhere classified (School, other institution and public administrative are
W24.3	Contact with lifting and transmission devices, not elsewhere classified (Sports and athletics area)
W24.4	Contact with lifting and transmission devices, not elsewhere classified (Street and highway)
W24.5	Contact with lifting and transmission devices, not elsewhere classified (Trade and service area)
W24.6	Contact with lifting and transmission devices, not elsewhere classified (Industrial and construction area)
W24.7	Contact with lifting and transmission devices, not elsewhere classified (Farm)
W24.8	Contact with lifting and transmission devices, not elsewhere classified (Other specified places)
W24.9	Contact with lifting and transmission devices, not elsewhere classified (Unspecified place)
W25.0	Contact with sharp glass (Home)
W25.1	Contact with sharp glass (Residential institution)
W25.2	Contact with sharp glass (School, other institution and public administrative area)
W25.3	Contact with sharp glass (Sports and athletics area)
W25.4	Contact with sharp glass (Street and highway)
W25.5	Contact with sharp glass (Trade and service area)
W25.6	Contact with sharp glass (Industrial and construction area)
W25.7	Contact with sharp glass (Farm)
W25.8	Contact with sharp glass (Other specified places)
W25.9	Contact with sharp glass (Unspecified place)
W26.0	Contact with knife, sword or dagger (Home)
W26.1	Contact with knife, sword or dagger (Residential institution)
W26.2	Contact with knife, sword or dagger (School, other institution and public administrative area)
W26.3	Contact with knife, sword or dagger (Sports and athletics area)
W26.4	Contact with knife, sword or dagger (Street and highway)
W26.5	Contact with knife, sword or dagger (Trade and service area)
W26.6	Contact with knife, sword or dagger (Industrial and construction area)
W26.7	Contact with knife, sword or dagger (Farm)
W26.8	Contact with knife, sword or dagger (Other specified places)
W26.9	Contact with knife, sword or dagger (Unspecified place)
W27.0	Contact with nonpowered hand tool (Home)
W27.1	Contact with nonpowered hand tool (Residential institution)
W27.2	Contact with nonpowered hand tool (School, other institution and public administrative area)
W27.3	Contact with nonpowered hand tool (Sports and athletics area)
W27.4	Contact with nonpowered hand tool (Street and highway)
W27.5	Contact with nonpowered hand tool (Trade and service area)
W27.6	Contact with nonpowered hand tool (Industrial and construction area)
W27.7	Contact with nonpowered hand tool (Farm)
W27.8	Contact with nonpowered hand tool (Other specified places)
W27.9	Contact with nonpowered hand tool (Unspecified place)
W28.0	Contact with powered lawnmower (Home)
W28.1	Contact with powered lawnmower (Residential institution)
W28.2	Contact with powered lawnmower (School, other institution and public administrative area)
W28.3	Contact with powered lawnmower (Sports and athletics area)
W28.4	Contact with powered lawnmower (Street and highway)
W28.5	Contact with powered lawnmower (Trade and service area)
W28.6	Contact with powered lawnmower (Industrial and construction area)
W28.7	Contact with powered lawnmower (Farm)
W28.8	Contact with powered lawnmower (Other specified places)
W28.9	Contact with powered lawnmower (Unspecified place)
W29.0	Contact with other powered hand tools and household machinery (Home)
W29.1	Contact with other powered hand tools and household machinery (Residential institution)
W29.2	Contact with other powered hand tools and household machinery (School, other institution and public administrative area)
W29.3	Contact with other powered hand tools and household machinery (Sports and athletics area)
W29.4	Contact with other powered hand tools and household machinery (Street and highway)
W29.5	Contact with other powered hand tools and household machinery (Trade and service area)
W29.6	Contact with other powered hand tools and household machinery (Industrial and construction area)
W29.7	Contact with other powered hand tools and household machinery (Farm)
W29.8	Contact with other powered hand tools and household machinery (Other specified places)
W29.9	Contact with other powered hand tools and household machinery (Unspecified place)
W30.0	Contact with agricultural machinery (Home)
W30.1	Contact with agricultural machinery (Residential institution)
W30.2	Contact with agricultural machinery (School, other institution and public administrative area)
W30.3	Contact with agricultural machinery (Sports and athletics area)
W30.4	Contact with agricultural machinery (Street and highway)
W30.5	Contact with agricultural machinery (Trade and service area)
W30.6	Contact with agricultural machinery (Industrial and construction area)
W30.7	Contact with agricultural machinery (Farm)
W30.8	Contact with agricultural machinery (Other specified places)
W30.81	Contact with agricultural transport vehicle in stationary use (non-NHS term)
W30.89	Contact with other specified agricultural machinery (non-NHS term)
W30.9	Contact with agricultural machinery (Unspecified place)
W31.0	Contact with other and unspecified machinery (Home)
W31.1	Contact with other and unspecified machinery (Residential institution)
W31.2	Contact with other and unspecified machinery (School, other institution and public administrative area)
W31.3	Contact with other and unspecified machinery (Sports and athletics area)
W31.4	Contact with other and unspecified machinery (Street and highway)
W31.5	Contact with other and unspecified machinery (Trade and service area)
W31.6	Contact with other and unspecified machinery (Industrial and construction area)
W31.7	Contact with other and unspecified machinery (Farm)
W31.8	Contact with other and unspecified machinery (Other specified places)
W31.81	Contact with recreational machinery (non-NHS term)
W31.82	Contact with other commercial machinery (non-NHS term)
W31.83	Contact with special construction vehicle in stationary use (non-NHS term)
W31.89	Contact with other specified machinery (non-NHS term)
W31.9	Contact with other and unspecified machinery (Unspecified place)
W32.0	Handgun discharge (Home)
W32.1	Handgun discharge (Residential institution)
W32.2	Handgun discharge (School, other institution and public administrative area)
W32.3	Handgun discharge (Sports and athletics area)
W32.4	Handgun discharge (Street and highway)
W32.5	Handgun discharge (Trade and service area)
W32.6	Handgun discharge (Industrial and construction area)
W32.7	Handgun discharge (Farm)
W32.8	Handgun discharge (Other specified places)
W32.9	Handgun discharge (Unspecified place)
W33.0	Rifle, shotgun and larger firearm discharge (Home)
W33.00	Accidental discharge of unspecified larger firearm (non-NHS term)
W33.01	Accidental discharge of shotgun (non-NHS term)
W33.02	Accidental discharge of hunting rifle (non-NHS term)
W33.03	Accidental discharge of machine gun (non-NHS term)
W33.09	Accidental discharge of other larger firearm (non-NHS term)
W33.1	Rifle, shotgun and larger firearm discharge (Residential institution)
W33.10	Accidental malfunction of unspecified larger firearm (non-NHS term)
W33.11	Accidental malfunction of shotgun (non-NHS term)
W33.12	Accidental malfunction of hunting rifle (non-NHS term)
W33.13	Accidental malfunction of machine gun (non-NHS term)
W33.19	Accidental malfunction of other larger firearm (non-NHS term)
W33.2	Rifle, shotgun and larger firearm discharge (School, other institution and public administrative area)
W33.3	Rifle, shotgun and larger firearm discharge (Sports and athletics area)
W33.4	Rifle, shotgun and larger firearm discharge (Street and highway)
W33.5	Rifle, shotgun and larger firearm discharge (Trade and service area)
W33.6	Rifle, shotgun and larger firearm discharge (Industrial and construction area)
W33.7	Rifle, shotgun and larger firearm discharge (Farm)
W33.8	Rifle, shotgun and larger firearm discharge (Other specified places)
W33.9	Rifle, shotgun and larger firearm discharge (Unspecified place)
W34.0	Discharge from other and unspecified firearms (Home)
W34.00	Accidental discharge from unspecified firearms or gun (non-NHS term)
W34.01	Accidental discharge of gas, air or spring-operated guns (non-NHS term)
W34.010	Accidental discharge of airgun (non-NHS term)
W34.011	Accidental discharge of paintball gun (non-NHS term)
W34.018	Accidental discharge of other gas, air or spring-operated gun (non-NHS term)
W34.09	Accidental discharge from other specified firearms (non-NHS term)
W34.1	Discharge from other and unspecified firearms (Residential institution)
W34.10	Accidental malfunction from unspecified firearms or gun (non-NHS term)
W34.11	Accidental malfunction of gas, air or spring-operated guns (non-NHS term)
W34.110	Accidental malfunction of airgun (non-NHS term)
W34.111	Accidental malfunction of paintball gun (non-NHS term)
W34.118	Accidental malfunction of other gas, air or spring-operated gun (non-NHS term)
W34.19	Accidental malfunction from other specified firearms (non-NHS term)
W34.2	Discharge from other and unspecified firearms (School, other institution and public administrative area)
W34.3	Discharge from other and unspecified firearms (Sports and athletics area)
W34.4	Discharge from other and unspecified firearms (Street and highway)
W34.5	Discharge from other and unspecified firearms (Trade and service area)
W34.6	Discharge from other and unspecified firearms (Industrial and construction area)
W34.7	Discharge from other and unspecified firearms (Farm)
W34.8	Discharge from other and unspecified firearms (Other specified places)
W34.9	Discharge from other and unspecified firearms (Unspecified place)
W35.0	Explosion and rupture of boiler (Home)
W35.1	Explosion and rupture of boiler (Residential institution)
W35.2	Explosion and rupture of boiler (School, other institution and public administrative area)
W35.3	Explosion and rupture of boiler (Sports and athletics area)
W35.4	Explosion and rupture of boiler (Street and highway)
W35.5	Explosion and rupture of boiler (Trade and service area)
W35.6	Explosion and rupture of boiler (Industrial and construction area)
W35.7	Explosion and rupture of boiler (Farm)
W35.8	Explosion and rupture of boiler (Other specified places)
W35.9	Explosion and rupture of boiler (Unspecified place)
W36.0	Explosion and rupture of gas cylinder (Home)
W36.1	Explosion and rupture of gas cylinder (Residential institution)
W36.2	Explosion and rupture of gas cylinder (School, other institution and public administrative area)
W36.3	Explosion and rupture of gas cylinder (Sports and athletics area)
W36.4	Explosion and rupture of gas cylinder (Street and highway)
W36.5	Explosion and rupture of gas cylinder (Trade and service area)
W36.6	Explosion and rupture of gas cylinder (Industrial and construction area)
W36.7	Explosion and rupture of gas cylinder (Farm)
W36.8	Explosion and rupture of gas cylinder (Other specified places)
W36.9	Explosion and rupture of gas cylinder (Unspecified place)
W37.0	Explosion and rupture of pressurized tyre, pipe or hose (Home)
W37.1	Explosion and rupture of pressurized tyre, pipe or hose (Residential institution)
W37.2	Explosion and rupture of pressurized tyre, pipe or hose (School, other institution and public administrative area)
W37.3	Explosion and rupture of pressurized tyre, pipe or hose (Sports and athletics area)
W37.4	Explosion and rupture of pressurized tyre, pipe or hose (Street and highway)
W37.5	Explosion and rupture of pressurized tyre, pipe or hose (Trade and service area)
W37.6	Explosion and rupture of pressurized tyre, pipe or hose (Industrial and construction area)
W37.7	Explosion and rupture of pressurized tyre, pipe or hose (Farm)
W37.8	Explosion and rupture of pressurized tyre, pipe or hose (Other specified places)
W37.9	Explosion and rupture of pressurized tyre, pipe or hose (Unspecified place)
W38.0	Explosion and rupture of other specified pressurized devices (Home)
W38.1	Explosion and rupture of other specified pressurized devices (Residential institution)
W38.2	Explosion and rupture of other specified pressurized devices (School, other institution and public administrative area)
W38.3	Explosion and rupture of other specified pressurized devices (Sports and athletics area)
W38.4	Explosion and rupture of other specified pressurized devices (Street and highway)
W38.5	Explosion and rupture of other specified pressurized devices (Trade and service area)
W38.6	Explosion and rupture of other specified pressurized devices (Industrial and construction area)
W38.7	Explosion and rupture of other specified pressurized devices (Farm)
W38.8	Explosion and rupture of other specified pressurized devices (Other specified places)
W38.9	Explosion and rupture of other specified pressurized devices (Unspecified place)
W39.0	Discharge of firework (Home)
W39.1	Discharge of firework (Residential institution)
W39.2	Discharge of firework (School, other institution and public administrative area)
W39.3	Discharge of firework (Sports and athletics area)
W39.4	Discharge of firework (Street and highway)
W39.5	Discharge of firework (Trade and service area)
W39.6	Discharge of firework (Industrial and construction area)
W39.7	Discharge of firework (Farm)
W39.8	Discharge of firework (Other specified places)
W39.9	Discharge of firework (Unspecified place)
W40.0	Explosion of other materials (Home)
W40.1	Explosion of other materials (Residential institution)
W40.2	Explosion of other materials (School, other institution and public administrative area)
W40.3	Explosion of other materials (Sports and athletics area)
W40.4	Explosion of other materials (Street and highway)
W40.5	Explosion of other materials (Trade and service area)
W40.6	Explosion of other materials (Industrial and construction area)
W40.7	Explosion of other materials (Farm)
W40.8	Explosion of other materials (Other specified places)
W40.9	Explosion of other materials (Unspecified place)
W41.0	Exposure to high-pressure jet (Home)
W41.1	Exposure to high-pressure jet (Residential institution)
W41.2	Exposure to high-pressure jet (School, other institution and public administrative area)
W41.3	Exposure to high-pressure jet (Sports and athletics area)
W41.4	Exposure to high-pressure jet (Street and highway)
W41.5	Exposure to high-pressure jet (Trade and service area)
W41.6	Exposure to high-pressure jet (Industrial and construction area)
W41.7	Exposure to high-pressure jet (Farm)
W41.8	Exposure to high-pressure jet (Other specified places)
W41.9	Exposure to high-pressure jet (Unspecified place)
W42.0	Exposure to noise (Home)
W42.1	Exposure to noise (Residential institution)
W42.2	Exposure to noise (School, other institution and public administrative area)
W42.3	Exposure to noise (Sports and athletics area)
W42.4	Exposure to noise (Street and highway)
W42.5	Exposure to noise (Trade and service area)
W42.6	Exposure to noise (Industrial and construction area)
W42.7	Exposure to noise (Farm)
W42.8	Exposure to noise (Other specified places)
